"id";"name";"reg_number";"start_date";"email";"phone";"website";"address";"type";"city";"lat";"lng";"is_active";"datetime";"hashed";"country_id";"municipality_id";"user_id"
65;"Fozu Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:31:10.154402";"fc490ca45c00b1249bbe3554a4fdf6fb";1;1;1
66;"Futuru Mane Mesak Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:50:35.565990";"3295c76acbf4caaed33c36b1b5fc2cb1";1;1;1
67;"Harmep Kirana Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:56:55.508818";"735b90b4568125ed6c3f678819b6e058";1;1;1
68;"Detile Unip. Lda. In Asso W/ PDP UTEK (M) SDN BHD";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 10:26:04.219136";"a3f390d88e4c41f2747bfa2f1b5f87db";1;1;1
69;"Jatono Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:21:18.270222";"14bfa6bb14875e45bba028a21ed38046";1;1;1
70;"Joelamor Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:25:24.409339";"7cbbc409ec990f19c78c75bd1e06f215";1;1;1
71;"Katuas Patricio Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:39:36.631585";"e2c420d928d4bf8ce0ff2ec19b371514";1;1;1
72;"Leotylia Enterprises Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:44:54.997242";"32bb90e8976aab5298d5da10fe66f21d";1;1;1
73;"Lifran Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:47:27.925620";"d2ddea18f00665ce8623e36bd4e3c7c5";1;1;1
74;"Mexa Unip. Lda. -";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:49:56.312217";"ad61ab143223efbc24c7d2583be69251";1;1;1
75;"Nheu Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 12:53:05.024032";"d09bf41544a3365a46c9077ebb5e35c3";1;1;1
