"id";"start_lat";"start_lng";"end_lat";"end_lng";"administrativepost_id";"aldeia_id";"municipality_id";"project_id";"village_id"
536;"-8.973485174";"125.217561";"";"";17;0;4;536;138
537;"-9.006782231";"125.1738321";"";"";17;0;4;537;0
538;"-9.254113348";"125.3449886";"";"";22;0;5;538;174
539;"-9.158511742";"125.4501528";"";"";22;0;5;539;170
540;"-8.567480461";"125.5669518";"";"";0;0;6;540;222
541;"-8.539093";"125.613785";"";"";29;0;6;541;205
542;"-8.55926";"125.579427";"";"";0;0;6;542;223
543;"-8.562917";"125.607325";"";"";29;0;6;543;205
544;"-8.559804";"125.537857";"";"";30;0;6;544;208
545;"-8.8043437";"125.2871907";"";"";0;0;7;545;254
546;"-8.62942";"126.841425";"";"";39;0;8;546;0
547;"";"";"";"";47;0;10;547;338
548;"-9.166959011";"125.716581";"";"";53;0;11;548;367
549;"-8.839625";"125.60062";"";"";7;0;2;549;46
550;"-9.016085393";"125.487089";"";"";5;0;2;550;40
551;"-8.992628464";"125.6348725";"";"";53;0;11;551;374
552;"-9.063762237";"125.9296086";"";"";53;0;11;552;367
553;"-9.063762237";"125.9296086";"";"";53;0;11;553;367
554;"-8.540623";"126.161307";"";"";50;0;10;554;0
555;"-8.62847";"126.658198";"";"";9;0;3;555;63
556;"-8.460755948";"126.4557143";"";"";9;0;3;556;63
557;"-8.600632875";"126.3856659";"";"";14;0;3;557;0
558;"-8.604396084";"126.4022095";"";"";14;0;3;558;0
559;"-8.989202";"125.215159";"";"";17;0;4;559;142
560;"-9.04627456";"125.3821829";"";"";22;0;5;560;176
561;"-8.530445";"126.9650583";"";"";41;0;8;561;294
562;"-8.781232604";"126.3756127";"";"";59;0;12;562;0
563;"-8.830940192";"125.6653641";"";"";7;0;2;563;49
564;"-8.576212036";"126.5292443";"";"";14;0;3;564;0
565;"-9.250483";"125.091946";"";"";24;0;5;565;181
566;"-8.816075";"125.700984";"";"";54;0;11;566;385
567;"";"";"";"";9;0;3;567;64
568;"-9.041124304";"125.5099786";"";"";5;0;2;568;39
569;"-8.51613";"125.9969";"";"";0;0;3;569;0
570;"-8.556719152";"125.5095673";"";"";0;0;14;570;0
571;"-8.460906332";"126.4509513";"";"";0;0;0;571;0
572;"-8.636131564";"125.1401462";"";"";0;0;15;572;0
573;"-8.546198162";"125.6690485";"";"";49;0;10;573;350
574;"-8.48466683";"126.5663047";"";"";12;0;3;574;98
575;"";"";"";"";56;0;11;575;0
576;"";"";"";"";30;0;6;576;0
577;"-8.83851";"125.21749";"";"";18;0;4;577;150
578;"-9.302465";"125.281886";"";"";21;0;5;578;166
579;"-8.842356";"125.06052";"";"";16;0;4;579;125
580;"-8.86015816";"125.9870575";"";"";52;0;10;580;0
581;"-9.036777078";"125.8481587";"";"";55;0;11;581;387
582;"-9.02818687";"126.0017741";"";"";56;0;11;582;0
583;"-9.023720024";"125.9988936";"";"";56;0;11;583;393
584;"";"";"";"";21;0;5;584;165
585;"-9.0325898";"125.9944239";"";"";55;0;11;585;0
586;"-8.978214861";"125.2201534";"";"";17;0;4;586;138
587;"-8.821868486";"125.7044875";"";"";54;0;11;587;382
588;"-8.489902261";"126.3696345";"";"";10;0;3;588;74
589;"-8.531262509";"126.3477342";"";"";13;0;3;589;100
590;"-9.235945916";"125.3662985";"";"";21;0;5;590;167
591;"-9.216502473";"125.3918311";"";"";21;0;5;591;167
592;"-9.192683237";"125.4256926";"";"";22;0;5;592;172
593;"-9.356790603";"125.1663644";"";"";23;0;5;593;179
594;"-9.089056057";"125.3883257";"";"";22;0;5;594;170
595;"-9.246205291";"125.0024831";"";"";0;0;5;595;0
596;"-9.318853904";"125.2625943";"";"";21;0;5;596;168
597;"-9.317014084";"125.2846862";"";"";21;0;5;597;165
598;"-9.095871892";"125.9127122";"";"";55;0;11;598;0
599;"-9.05039";"125.94776";"";"";56;0;11;599;0
600;"-8.556898";"125.568652";"";"";30;0;6;600;0
601;"-8.569692654";"125.6168978";"";"";29;0;6;601;200
602;"-8.560058";"125.597038";"";"";0;0;6;602;221
603;"-8.566722";"125.627995";"";"";29;0;6;603;202
604;"-8.569698333";"125.6160483";"";"";29;0;6;604;200
605;"-8.565605";"125.597005";"";"";29;0;6;605;203
